Id;Review;Golden
4;a must own if you own the zoku maker...;Positive
4;a must own if you own the zoku maker...;Positive
4;this must be if you own the zoku makera .;Positive
4;someone if you own the zoku makera .;Positive
4;if you own the zoku makera , you must own the zoku makera .;Positive
7;okay but you can figure it out yourself without the book;Negative
7;okay but you can figure it out yourself without the book;Negative
10;i liked this book, but........;Positive
10;i liked this book, but........;Positive
11;a sweet book for babies and toddlers;Positive
11;a sweet book for babies and toddlers;Positive
11;a sweet book for children and toddlers .;Positive
11;that sweet book for babies and toddlers .;Positive
11;for babies and toddlers , it 's a nice book .;Positive
11;then there 's a nice book for kids and toddlers .;Positive
12;super cute niece present;Positive
12;super cute niece present;Positive
13;my little one absolutely loved this book;Positive
13;my little one absolutely loved this book;Positive
18;follow the instructions;Positive
18;follow the instructions;Positive
18;you follow the instructions .;Positive
18;follow the instructions .;Positive
18;follow instructions .;Positive
18;i want to follow the instructions .;Positive
18;follow the instructions , and follow the instructions .;Positive
18;then you follow the instructions .;Positive
18;if you follow the instructions , you follow the instructions .;Positive
20;great!;Positive
20;great!;Positive
21;good for what it's worth;Neutral
21;good for what it's worth;Neutral
21;it 's good what it 's worth .;Neutral
21;i 'm good for what it 's worth .;Neutral
21;goodness for what it 's worth .;Neutral
21;good for what it 's worth , and it 's worth .;Neutral
25;great idea book and used in wilton class;Positive
25;great idea book and used in wilton class;Positive
28;good if you take a class!;Positive
28;good if you take a class!;Positive
28;it 's good if you take a class !;Positive
28;good thing you take a class !;Positive
38;review of the wilton gum paste and fondant lesson plan;Positive
38;review of the wilton gum paste and fondant lesson plan;Positive
41;good for beginners;Positive
41;good for beginners;Positive
41;it 's good for beginners .;Positive
41;i 'm good for beginners .;Positive
41;goodness for beginners .;Positive
41;good for beginners , and it 's good .;Positive
41;i 'm good for beginners .;Positive
41;for beginners , it 's good .;Positive
45;disappointed again!;Neutral
45;disappointed again!;Neutral
45;i was disappointed !;Neutral
48;great for kids or as a gift for a baker;Positive
48;great for kids or as a gift for a baker;Positive
48;it 's for kids or a gift for a baker .;Positive
48;mr. for kids or a gift for a baker .;Positive
48;as a gift for a baker , it 's a gift for a baker .;Positive
48;maybe it 's a gift for kids or a gift for a baker .;Positive
49;nice for beginners;Positive
49;nice for beginners;Positive
49;it 's nice for beginners .;Positive
49;for beginners , it 's nice .;Positive
52;gun paste and fondant and lesson plan;Positive
52;gun paste and fondant and lesson plan;Positive
52;that gun and fondant and lesson plan .;Positive
52;then insert and fondant and lesson plan plan .;Positive
54;i am learning and these books are great;Positive
54;i am learning and these books are great;Positive
54;they 're learning and these books .;Positive
54;so we 're learning and these books .;Positive
54;we 're learning , and these books are great .;Positive
54;i 'm sure they 're learning and these books .;Positive
54;now you learn and these books are great .;Positive
56;thought it was more than a manual;Positive
56;thought it was more than a manual;Positive
56;he thought it was more than a manual .;Positive
56;thought it was more than a manual .;Positive
56;something he thought more than a manual .;Positive
56;i thought it was more than a manual .;Positive
56;he thought it was more than a manual , but he thought it was more than a manual .;Positive
56;i thought it was more than a manual .;Positive
58;great!;Positive
58;great!;Positive
61;great for beginners;Positive
61;great for beginners;Positive
61;it 's for beginners .;Positive
63;good!;Positive
