Id;Review;Golden
2;morrisons book second consecutive quarter of sales growth;Positive
2;morrisons book second consecutive quarter of sales growth;Positive
2;the book of the morrison is the second quarter of sales growth .;Positive
2;morrisons the second consecutive quarter of sales growth .;Positive
2;i 'm running a second consecutive quarter of sales growth .;Positive
2;in morrisons book , it is the second quarter of the sale .;Positive
3;imi posts drop in first-quarter organic revenue, warns on full year;Neutral
3;imi posts drop in first-quarter organic revenue, warns on full year;Neutral
3;imi posts drop in first-quarter organic lobster warns for full year .;Neutral
3;the number of imi is dropped in the first quarter , and it warns in full year .;Neutral
4;glencore to refinance its short-term debt early, shares rise;Neutral
4;glencore to refinance its short-term debt early, shares rise;Positive
4;glencore is to refinance its short-term debt .;Positive
4;glencore to refinance its short-term debt .;Positive
4;where do you refinance its short-term debt , shares ?;Positive
4;in glencore , it is glencore to refinance its short-term debt .;Positive
4;so he can refinance his short-term debt .;Positive
5;easyjet attracts more passengers in june but still lags ryanair;Positive
5;easyjet attracts more passengers in june but still lags ryanair;Positive
5;june attracts more passengers in june , but it 's ryanair .;Positive
5;in june , it attracts more passengers in june .;Positive
5;when june is more passengers in june , it attracts ryanair .;Positive
6;barclays 'bad bank' chief to step down;Negative
6;barclays 'bad bank' chief to step down;Negative
7;bilfinger industrial services win £100m bp contract extension;Positive
7;bilfinger industrial services win £100m bp contract extension;Positive
8;bilfinger industrial services win £100m bp contract extension;Positive
8;bilfinger industrial services win £100m bp contract extension;Positive
9;barclays share price subdued as bank faces fresh forex probe;Neutral
9;barclays share price subdued as bank faces fresh forex probe;Neutral
9;barclays share price compared as bank faces fresh forex probe .;Neutral
9;tell barclays share price as bank faces fresh forex probe .;Neutral
9;barclays share price the bank faces fresh forex probe .;Neutral
