ID,Comments,Comment ID,Reply count,Like count,Published at
0,"Until Washington set foot on Ukraine, everything was wonderful in this state.
Ukrainians lived in peace with Russia, and considered each other one people.
brainwashed people strongly .. scared - even more ...
*
.. after that deadly horror that the Nazis staged in the house of trade unions in Odessa ..
  People are drowning in 'Stockholm' syndrome.
  das-man supports fascists and marauders .. approves of scumbags hiding behind civilians and their houses ..
tragedy...
(help should have been EARLIER ..!! ..",UgwKBNAUpibdmJjg0tB4AaABAg,0,0,2022-02-27T07:25:25Z
1,"I am so proud of this young president,  he stayed and boldly stand  ,fight against the bully Putin,  Afganistan president ran away when it was time to fight  and Syria's president ran into hiding with his family remember etc..  l stand with the Ukrainian and his people.....",UgwZUZU2UvcL_JuBy4Z4AaABAg,0,0,2022-02-27T07:25:23Z
2,"Well, US fucked by Russia",UgxCkgo4HuwM5fBatRl4AaABAg,0,1,2022-02-27T07:25:07Z
3,Humanity will never advance with this idiocy. If they advance into the capital I doubt many  soldiers will be left alive,Ugyee2TexAARGXaUMzt4AaABAg,0,0,2022-02-27T07:24:36Z
4,wait i am very confused why is Russia invading Ukraine?,Ugx3qS4PMtWUEo7KZDN4AaABAg,0,0,2022-02-27T07:24:01Z
5,"Biggest hypocrits in the world !! Controlled media which decide who's good or BAD. Times are changing, people are opening their eyes. How many wars US & their allies were involved in ? How about Palestine, Libya, Irak, Somalia, Mali, Éthiopia and so on ? Don't blame people who are indifferent to your issues, because you didn't blink an eye when they had theirs. Two options: We feel sorry for everybody, or we use your most hypocrit sentence",UgwsApOfWPIJeSopIgF4AaABAg,0,0,2022-02-27T07:21:31Z
6,I am really disappointed at Russia. I was wrong that I believed Russian was not evil.,UgwRVCb9Y9gvvleKKKx4AaABAg,0,0,2022-02-27T07:20:26Z
7,Bring the Afghans. They have plenty of weapons they beat them in the 80s,Ugw2LBiqWN619Hp4JM94AaABAg,0,0,2022-02-27T07:20:25Z
8,Russia will be defeated. We stand with Ukraine,Ugzt63DD4EH3cUbDAeN4AaABAg,0,0,2022-02-27T07:20:01Z
9,"Wow, I'm following someone from Ukraine on tiktok and they go live. You can see the missiles coming in.",UgzRGKrAmHqQo27xmpB4AaABAg,0,0,2022-02-27T07:15:55Z
10,Vietnam Syria Afganastan  Pakistan Belgrade .Wot ubuth,UgzL25eFUlbLWCIhpkR4AaABAg,0,0,2022-02-27T07:14:26Z
11,Sending Prayers Y'all Way frfr🙏🙏🙏...Lord Jesus Is King....Not Putin,UgwmfsKmTJKjJNUHAE54AaABAg,0,0,2022-02-27T07:13:56Z
12,Biden's got nerve. He's not even a real president. He ought to be ashamed of himself pretending to be president of the United States of America. America didn't vote for him. Sickening.,UgzDFlZJ9afHmM_y6ZV4AaABAg,0,0,2022-02-27T07:13:51Z
13,Stop this war please 🙏🏾,UgzhcamzYA3TiXsJKip4AaABAg,0,0,2022-02-27T07:12:44Z
14,"War hero also Ukrianian rap artist fought 5 soldiers by his self.

https://youtu.be/73Oc3LbqhZk",UgyfEs9-56yr3L_dF9F4AaABAg,0,0,2022-02-27T07:12:32Z
15,"If you can't fight them just join them,Resistance just provoke more damage and lose of lives, puttin ain't after taking anyones lives and causing destruction to Ukrainians, he wants to reform  USSR, why can't you remember how you guys were strong together?!",UgzIE7WsTSBMlRqRYHJ4AaABAg,0,0,2022-02-27T07:12:20Z
16,"Ukriane rap artist 🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦

https://youtu.be/73Oc3LbqhZk 
Fighting for his country",Ugzrid0bsI0xa-rzDOl4AaABAg,0,0,2022-02-27T07:12:15Z
17,Putin & Hitler Both have the same Astrological Circle google it. Both are Aries in the 6th. So if they are suffering in life they will start war. The 7th is Taurus so court for Tresspassing and money issues. The 8th of death is Gemini so the News and Air and Lungs and Hand issues become their death. I do not understand why people in Ukraine did not Leave weeks ago when the News was floating around that Russia would invade Ukraine.,UgxCWDN8UZmbvhjjnYZ4AaABAg,1,0,2022-02-27T07:09:52Z
18,You guys act like this all are russia fault smh😕😪,Ugz8PRSa6QtgKhv-oXJ4AaABAg,0,0,2022-02-27T07:09:51Z
19,Now wheres NATO when u need them? None.,Ugy1jiv5XNuR8wI9nU54AaABAg,0,0,2022-02-27T07:09:40Z
20,"You mean they're being made to fight even if they don't want to, even if they don't like it there? What a bummer for civilian people.",UgwWNtDW4_65mawjTll4AaABAg,0,0,2022-02-27T07:07:28Z
21,Where is America,UgywPkcojsbaZ9YNEzp4AaABAg,0,1,2022-02-27T07:05:42Z
22,Stop war stop war stop war,UgzGZeHZIBdicQEEs054AaABAg,0,0,2022-02-27T07:05:04Z
23,Oh Ukraine is the civiled land unlike iraq right,UgyFoWl1UuPt7alqZhx4AaABAg,1,1,2022-02-27T07:03:56Z
24,Nothing's,UgwqLrw6d8nydQ43fEF4AaABAg,0,1,2022-02-27T07:03:04Z
25,What is our world doing,Ugw0g3Tzh8QnAGuuq9l4AaABAg,0,1,2022-02-27T07:02:50Z
26,No county family deserves this,UgyWlThEyuOQt3FYDD94AaABAg,1,1,2022-02-27T07:01:59Z
27,"Murderers, GO to HELL.",UgxgHk7IZruKi_Aitsd4AaABAg,0,0,2022-02-27T07:01:36Z
28,American citizens are ready,UgyHglk-JkFoXfuIixR4AaABAg,0,1,2022-02-27T07:01:01Z
29,I think Ukraine’s president should allow people who want to leave Ukraine to leave and let women who wish to join their armed forces to do that.,Ugw0j53Tf0B0dBq9cGh4AaABAg,0,0,2022-02-27T07:00:19Z
30,America listen up,Ugxt-84W5-wpdZc3I5d4AaABAg,0,1,2022-02-27T07:00:14Z
31,Freeze governments,UgxgLQ4oaYlu2dNL-gl4AaABAg,1,1,2022-02-27T06:59:20Z
32,"Unbelievable, greed is the doom of all governments",UgxHovZ13ZOib0hsOHl4AaABAg,0,1,2022-02-27T06:58:38Z
33,"Why don’t you show the videos of Ukraine winning battles or the videos the Russian troops captured and asked to call their parents where they say they don’t know why they are here (BS), but their parents didn’t know where they were.",UgwHpsNjTyFS2m_4gUF4AaABAg,0,0,2022-02-27T06:57:52Z
34,glory to god,UgwDULNjyteTkWIz9up4AaABAg,0,0,2022-02-27T06:53:29Z
35,"Amerika is terorist on Balkan,Europe and Ukrain",Ugxdw39ZgJ5YzZ-14hB4AaABAg,0,0,2022-02-27T06:51:44Z
36,Starting of WWlll. China will invade Taiwan any moment. We know where it's going,Ugy8ulQW22K5s6S1BMl4AaABAg,0,0,2022-02-27T06:51:25Z
37,🔱,Ugw4gqknVzHT6p_vu3d4AaABAg,0,0,2022-02-27T06:49:04Z
38,2:53 I felt his words. Imagine having no experience in the military but you have the heart of a Soldier. Kia Kaha from New Zealand. 🇺🇦🇳🇿,UgyIqVomjxVSrqx2Kw14AaABAg,1,1,2022-02-27T06:47:10Z
39,"Гнусы из авс ньюс показали фото, где украинская бронемашина с одуревшим водителем наехала на легковушку, и на этом построили фейки, предлагаемые вам для ""пережевывания"". Этот выпуск полностью ФЕЙК!!!",Ugytz4q2_olTfmC8Q0V4AaABAg,0,0,2022-02-27T06:46:56Z
40,This is not right,Ugz00hQj__jBwCcbLs14AaABAg,0,0,2022-02-27T06:44:02Z
41,挺住，乌克兰！！普金必败！！,Ugy5l_Sw0OhC2J3u2yx4AaABAg,0,0,2022-02-27T06:42:13Z
42,Неплохие новости.,UgxjGI7lnypHGqLwfhp4AaABAg,0,0,2022-02-27T06:41:09Z
43,"My heart goes out to the people, families and soldiers of Ukraine. This truly breaks my heart seeing this all transpire. Stay strong Ukraine, don't give up! 🇺🇦💙💛",Ugxro2S4MqaZLwuVeMx4AaABAg,0,0,2022-02-27T06:37:33Z
44,I started balling my eyes out hearing that a holocaust survivor has to go through war again😭. Stay safe Ukraine,UgyYlNkSNSVCMd3dVDF4AaABAg,0,0,2022-02-27T06:34:29Z
45,And here we go the usa and nato with same lies as they used to do in Irak syria and so Many countries this is why they always loose wars,UgwKH_kABK8qCHqSwwt4AaABAg,0,0,2022-02-27T06:31:05Z
46,Please note the trolls on this news station:  ABS News:  please cut the comments.,UgzRwDWVLe9P7yGCtqF4AaABAg,0,0,2022-02-27T06:29:59Z
47,"Unless money is involved i cant understand why russians of ukrain do not want russians of russia to remain their family.
Its also werid to see that in the midst of war the ukrain civilians are acting as of all is well. The behaviour is unsual as it doesnt happen in war not that they are brave or aomething its more like they invited russia.",Ugw3EcL8NFwwnU8ra094AaABAg,0,0,2022-02-27T06:26:34Z
48,Jesus is the answer,UgxoojQDuIUGyPob8Vp4AaABAg,0,0,2022-02-27T06:23:30Z
49,"Waging war against a democratic and free country?Ukrainians and Russians, both nations are pet lovers. Why things have to be aggressively tough like cat-and-dog raining? If more Ukrainian and Russian lives are mistakenly killed, who’re going to take care of the adorable pets you love?",Ugz6C2Myd5FPsO0Q_EJ4AaABAg,0,0,2022-02-27T06:22:40Z
50,People need democratic geverment to protect and to control resources of the particular country .But the world now no need democratic geverment.course every geverment need to show power.I want to ask Russian people what they after his geverment .to kill thousands of Ukrein people.And you still call yourselves we are a humans being.No God no Angles will come to tell us don't kill each other.We have to go back into the hollybooks . Especially Qur an.,Ugy48GanYjoqVeUBec94AaABAg,0,0,2022-02-27T06:18:37Z
51,Hey Russia want to know why you guys are always the bad guys in games and movies? Because you are.,Ugxt0OlrZtiQQMAzqN54AaABAg,0,1,2022-02-27T06:17:51Z
52,Russia making a war crimes😦,Ugy1UhNR3h_KrrgrodB4AaABAg,0,0,2022-02-27T06:16:56Z
53,Total mess and disaster! What the hell!!!,UgyvvOnMC0hbxGuxGlp4AaABAg,0,0,2022-02-27T06:16:14Z
54,Why for the 104 women in her time Russians were allies so they hope for liberations but now she just scared of them,UgxMvgAKj5-NyS5jInJ4AaABAg,1,0,2022-02-27T06:13:58Z
55,Biden took America then putin took ukraine. Liberals of America have destroyed the peace they were looking for.,Ugw4_amRxXmnNcAK_Bd4AaABAg,0,0,2022-02-27T06:11:57Z
56,"Omg you wouldn't believe what happen to these people in Ukraine look 
https://youtu.be/K0w7GridWNo god is coming soon!!!!!!!!!! Pray for them 😭😭",UgxdcpiOXupIgoLkMzR4AaABAg,0,0,2022-02-27T06:09:29Z
57,Are they slyly trying to compare Russians to Nazis... STOP 🛑,UgxpxLAPGfYmmJF0BJ94AaABAg,0,0,2022-02-27T06:08:16Z
58,Reminds me of the ending in downfall.,UgxV_caDUVL-UmgQnFJ4AaABAg,0,0,2022-02-27T06:07:15Z
59,F you Russia. From a Romanian in the U.S. F you.,UgxAPyztcCbL8E4RbbB4AaABAg,0,1,2022-02-27T06:05:29Z
60,"Line em up! All rich old men barking orders, line them up. You can go kill each other. No more young men dying for your games! Young men, stop listening to these old guys!!! Listen only to the ones who don't want conflict. But Brandon? Lmao let then fight their own old man wars.",UgzLwYJhDHdsrOS-bE94AaABAg,0,0,2022-02-27T06:04:59Z
61,Russia you need to just go away. You are a villain to the planet.,Ugxp6dGwH7Xk_VnM2S94AaABAg,0,1,2022-02-27T06:04:22Z
62,"Ukraine President can’t win over Russia, he should resign for peace, then all people go back for work and happiness happens again. USA don’t need to pay money for other countries , Americans Tax is to help Americans, not Ukrainians or Pakistan.",Ugwr1iWR8jkzKJ6ZHqF4AaABAg,0,0,2022-02-27T06:02:19Z
63,Supposedly those 13 people have been captured .,UgxuHTu3tmvsVUArEA54AaABAg,0,0,2022-02-27T06:02:18Z
64,It’s Kiev... Kyiv... not keeeeeev...,UgwC1gpR3HiC9H7uZjF4AaABAg,0,0,2022-02-27T06:00:31Z
65,"No pain no gain
Fight courageously🇺🇦
Stay safe
God help this nation.",Ugy4xrrN4CpjKQeOxk94AaABAg,0,0,2022-02-27T05:59:51Z
66,can biden sanction himself?,UgyNoazbBaVFXYbQoyl4AaABAg,0,0,2022-02-27T05:58:50Z
67,WE ALL TOGATHER  save UKRIAN,Ugx0gattQkZDEjgPbQh4AaABAg,0,0,2022-02-27T05:58:33Z
68,0:42 wtf 😱,Ugwf4ghAXnSPQrPZMY94AaABAg,0,0,2022-02-27T05:56:35Z
69,Putin keeps some of his money hidden in a certain Panamanian bank... (Panama papers cough cough),UgzchljtQY-cWb2yhk54AaABAg,0,0,2022-02-27T05:55:30Z
70,Sooo what happened to the cops in the case of war do they just stand and watch or do they defend I’m really curious,Ugy1Uj1I6GRFyBOWRRx4AaABAg,0,0,2022-02-27T05:55:27Z
71,kee·ev,UgwlJCzUo2tR4YCEBnp4AaABAg,0,0,2022-02-27T05:54:16Z
72,"God is watching from a distance 🌎 
😢",Ugy7tuyMBXPYp-j45Wt4AaABAg,0,0,2022-02-27T05:54:11Z
73,But they won't stop taking oil from russia,UgxaYz6Zr0JPRhBwTxp4AaABAg,0,0,2022-02-27T05:54:04Z
74,I'm sad for the War going in Ukraine. All happened because a stand up comedian. Why he was desperate for Joining NATO. Was it bring Ukraine to the top countries No. Thn why  you had country that was recognized by world. I think there wasn't needed to apart NATO. NATO runs by evil countries. Ukraine people have  know that NATO and U.S attacked 4 countries. Like Afghanistan-Iraq-Libya and Syria. The last 3 countries still burning in corruption or handed to a terrorist organization. And left behind with nothing. Did NATO or U.s turn those countries to a paradise. NO Thn WHY want destroy your country for NATO or U.s,UgyCqf0SjlAvcnWTWrJ4AaABAg,0,0,2022-02-27T05:51:50Z
75,"If INDIA , CHINA ,USA and other big country also gets involved we are doomed 🤧😣",UgwErjoM52CCsd8f4xt4AaABAg,0,0,2022-02-27T05:50:35Z
76,4:03 Did they seriously use this old footage from years ago as if it was new?,UgxVueuGcQoQel9NUVp4AaABAg,0,0,2022-02-27T05:49:45Z
77,Support russia from iran🇮🇷🇷🇺,UgzIKmhwOGmPwAETEfx4AaABAg,0,0,2022-02-27T05:46:53Z
78,LORD HAVE MERCY ON UKRAINE.,Ugxd6EmedAig5ccuSJF4AaABAg,0,0,2022-02-27T05:46:46Z
79,"Welp we know this was a lie now.
He can't get close to Kyiv yet.",Ugz3LapAFVmJOogYQV54AaABAg,0,0,2022-02-27T05:45:37Z
80,"Wherever there is a war, the whole world is affected. The solution to the problems is still negotiations. The immediate effect of the war between Russia and Ukraine is that the world market has seen a terrible increase in oil prices.  It is said that the United States and Britain have imposed sanctions on Moscow after the Russian invasion of Ukraine, but it also shows that the major powers have no confidence in them, they start a war but at the same time refuse to cooperate.",UgxOxFAjlSnvLwh-Zjd4AaABAg,0,0,2022-02-27T05:42:10Z
81,"How about we all make an agreement and pray every night for the best of Ukraine 🇺🇦 God is our guardian and he will definitely do his best to save all of Ukraine. They have a magical barrier that protects them and it grows each time we pray for them and god uses his power to protect them. Russians have no reason to go upon their property exploding buildings and more. Let’s all hope for the best, Amen 🙏",UgzaSx46rSYWY3tfeU94AaABAg,0,0,2022-02-27T05:41:13Z
82,That was a Ukrainian tank that ran over that car,UgxOVvvqtS_MHABdX4t4AaABAg,0,0,2022-02-27T05:38:29Z
83,Stay strong Ukraine 🇺🇦🤝🇵🇭,UgysqBDJDp_z8Pg2oFB4AaABAg,0,0,2022-02-27T05:37:33Z
84,Countries are only independent if they can enforce their independence. Talk is cheap. Ultimate political power comes from brute force. This is true anywhere and in all of human history.,UgwkXPWhmYomIlIizAB4AaABAg,0,1,2022-02-27T05:37:16Z
85,Funny thing all live camera show nothing happening. more lies to create more drama from nothing.,UgyIhAAzRzu6j819Ap94AaABAg,0,0,2022-02-27T05:35:03Z
