Id;Review;Golden
9542;ordinary melodrama that is heavy on religious symbols but wafer-thin on dramatic substance;Negative
9542;ordinary melodrama that is heavy on religious symbols but wafer-thin on dramatic substance;Negative
9542;an ordinary melodrama is heavy on religious symbols but waferles on dramatic substance .;Negative
9542;brave melodrama that is heavy on religious symbols but waxes the weight of dramatic substance .;Negative
9542;ordinary melodrama that is heavy on religious symbols but wafer-weakening on dramatic substance .;Negative
9542;an ordinary melodrama is heavy on religious symbols , but wafer-thin on dramatic substance has been .;Negative
9542;i have an ordinary melodrama that is heavy on religious symbols but is on dramatic substance .;Negative
9542;why do you have a common melodrama that is heavy on religious symbols but wafer-thin on dramatic substance ?;Negative
9542;normally it 's hard for religious symbols but wafer-thin on dramatic substance .;Negative
9542;which is heavy on religious symbols , it is difficult to make a lot of dramatic melodrama .;Negative
13695;-lrb- drumline -rrb- is entertaining for what it does , and admirable for what it doesn't do .;Positive
13695;-lrb- drumline -rrb- is entertaining for what it does , and admirable for what it doesn't do .;Positive
13695;it 's admirable for what it does .;Positive
13695;is admirable for what it does .;Positive
13695;years admirable for what it does .;Positive
13695;which is admirable for what it does , and admirable for what it does n't do .;Positive
13695;it 's admirable for what it does , and it 's admirable for what it does n't do .;Positive
13695;how is it possible and admirable for what it does n't do ?;Positive
13695;here it is admirable for what it does , and admirable for what it does n't do .;Positive
13714;... a roller-coaster ride of a movie;Positive
13714;... a roller-coaster ride of a movie;Positive
13714;it 's a roller coaster of a movie .;Positive
13714;... a roller coaster of a movie .;Positive
13714;a roller coaster of a movie .;Positive
13759;a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .;Positive
13759;a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .;Positive
13759;being a classy item by a legend who may have nothing to do but prove how his work is .;Positive
13759;i have a classy item from a legend who may have nothing to prove but see how his work is .;Positive
13759;then a classy item by a legend who may have nothing proves the cuts and drive to show how his work ends .;Positive
13762;a cop story that understands the medium amazingly well .;Positive
13762;a cop story that understands the medium amazingly well .;Positive
13762;a police story understands the medium very well .;Positive
13762;a police story that understands the medium very well .;Positive
13769;a fascinating and fun film .;Positive
13769;a fascinating and fun film .;Positive
13779;a heavy reliance on cgi technology is beginning to creep into the series .;Neutral
13779;a heavy reliance on cgi technology is beginning to creep into the series .;Neutral
13779;a heavy reliance on cgi technology will be in the series .;Neutral
13779;i think a heavy reliance on cgi technology will be in the series .;Neutral
13779;a heavy reliance on cgi technology 's starting to creep into the series .;Neutral
13779;so the heavy reliance on chicago technology will be in the series .;Neutral
13779;a heavy reliance on cgi technology is starting to creep into the series , and it will be in the series .;Neutral
13779;where is the heavy reliance on cgi technology be in the series ?;Neutral
13779;in the series , a heavy reliance on cgi technology will be in the series .;Neutral
13779;now a heavy reliance on cgi technology will be in the series .;Neutral
13782;a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .;Positive
13782;a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .;Positive
13782;that masterful film from the master filmmaker is unique in his country view .;Positive
13782;a masterful film from the master filmmaker was unique in its deceptive grisly , and it was in its fatalist world .;Positive
13786;a mostly intelligent , engrossing and psychologically resonant suspenser .;Positive
13786;a mostly intelligent , engrossing and psychologically resonant suspenser .;Positive
13786;it 's intelligent , engrossing and psychologically resonant .;Positive
13786;a mostly intelligent , engrossing and psychologically resonant suspenser .;Positive
13786;so it 's mostly intelligent , engrossing and psychologically resonant .;Positive
13786;i have a very intelligent , engrossing and psychologically resonant suspenser .;Positive
13786;why do you have a mostly intelligent , engrossing , psychic and psychologically resonant ?;Positive
13786;mostly it 's a very intelligent , engrossing , psychologically resonant suspension of suspenzer .;Positive
13799;a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .;Positive
13799;a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .;Positive
13799;the drama of sudden violence is a more psychological drama in the slow century that has preceded them .;Positive
13799;simmering psychological drama in which the bursts of sudden violence are the more slow phenomenon that has preceded them .;Positive
13799;a psychological drama in which the bursts of sudden violence are the more slow phenomenon that has preceded them .;Positive
13799;that the drama of sudden violence is a more psychological drama in the slow century that has preceded them .;Positive
13799;the drama of sudden violence is a drama in the midst of a slow buildup , and it has been a more difficult thing for the slow buildup the slow buildup the slow buildup the long term the same way the same thing a little bit the same thing a long way the last thing a long way the slow buildup the first thing a long way the first thing a long period a long period a long period a little bit the same way the first thing a long way the last way the first thing a slow phase a little bit the same way the first time the first thing a long period the same way the first thing a long way the last way the first thing a slow period the same way the first thing a long period the first time;Positive
13799;i have a lot of psychological drama in which the attacks of sudden violence are the more difficult drama that has preceded them .;Positive
13799;when do we have a mental drama in which the bursts of sudden violence are more surprising ?;Positive
13799;in the midst of a slow buildup , the drama of sudden violence is the more complex drama that has preceded them .;Positive
13799;then the drama of sudden violence is the more complex drama of the slow buildup that has preceded them .;Positive
13799;when the bursts of sudden violence are concerned , the more important drama in the slow century has preceded them .;Positive
13801;a smart , sweet and playful romantic comedy .;Positive
13801;a smart , sweet and playful romantic comedy .;Positive
13801;i 'm a smart , sweet , playful comedy .;Positive
13801;a smart , sweet and playful romantic comedy .;Positive
13801;i 've got a smart , sweet , playful comedy in romance .;Positive
13803;a solidly seaworthy chiller .;Positive
13803;a solidly seaworthy chiller .;Positive
13803;a solidly seaworthy chiller .;Positive
13803;so it 's a really good chiller .;Positive
13809;a sports movie with action that's exciting on the field and a story you care about off it .;Positive
13809;a sports movie with action that's exciting on the field and a story you care about off it .;Positive
13809;the sports are in action that 's exciting in the field and the story you care about it .;Positive
13809;have a sports movie with action that 's exciting in the field and cares about it .;Positive
13809;the sports movie with action that 's exciting in the field and the story you care about it .;Positive
13809;which is a movie with action that 's exciting in the field and a story you care about it .;Positive
13809;the sports movie with action is exciting in the field , and you care about it .;Positive
13809;in a movie with action , it 's exciting in the field and a story you care about it .;Positive
13809;now the sports are in action that 's exciting in the field and the story you care about it .;Positive
13811;a taut , intelligent psychological drama .;Positive
13811;a taut , intelligent psychological drama .;Positive
13811;it 's an intelligent psychological drama .;Positive
13811;i 'm an intelligent psychological drama .;Positive
13811;a taut , intelligent psychological drama .;Positive
13811;so it 's a taut , intelligent psychological drama .;Positive
13811;maybe it 's an intelligent psychological drama .;Positive
13813;a thoughtful , provocative , insistently humanizing film .;Positive
13813;a thoughtful , provocative , insistently humanizing film .;Positive
13822;a very funny movie .;Positive
13822;a very funny movie .;Positive
13822;it 's a very funny movie .;Positive
13822;i 'm a very funny movie .;Positive
13822;a very funny movie .;Positive
13824;a well-made thriller with a certain level of intelligence and non-reactionary morality .;Positive
13824;a well-made thriller with a certain level of intelligence and non-reactionary morality .;Positive
13824;it is a well-made thriller with a certain degree of intelligence and non-reactionary morality .;Positive
13824;making a well-made thriller with intelligence and non-reactionary morality .;Positive
